Specialty of Practice,Erie St. Clair - Rank,South West - Rank,Waterloo Wellington - Rank,Hamilton Niagara Haldimand Brant - Rank,Central West - Rank,Mississauga Halton - Rank,Toronto Central - Rank,Central - Rank,Central East - Rank,South East - Rank,Champlain - Rank,North Simcoe Muskoka - Rank,North East - Rank,North West - Rank,Grand Total - Rank
Psychiatry - Forensic,0.09615384615384615,0.30769230769230765,0.0,0.2948717948717949,0.0,0.0,0.7628205128205128,0.032051282051282055,0.22435897435897434,0.5,0.358974358974359,1.0,0.22435897435897434,0.5384615384615384,0.2628205128205128
Psychiatry - Geriatric,0.08426966292134831,0.10674157303370786,0.19662921348314605,0.25842696629213485,0.0,0.17415730337078653,1.0,0.08426966292134831,0.29775280898876405,0.5449438202247191,0.6292134831460675,0.21910112359550563,0.29213483146067415,0.23595505617977527,0.30337078651685395
Public Health & Preventive Medicine,0.10552763819095477,0.19597989949748745,0.19095477386934673,0.221105527638191,0.0,0.3065326633165829,1.0,0.21105527638190957,0.1306532663316583,0.5376884422110552,0.4120603015075377,0.25125628140703515,0.3065326633165829,0.5879396984924623,0.3015075376884422
Radiation Oncology,0.16888045540796964,0.3605313092979127,0.17647058823529413,0.35104364326375714,0.0,0.17836812144212524,1.0,0.08538899430740039,0.12333965844402278,0.47817836812144215,0.2922201138519924,0.2960151802656547,0.26565464895635676,0.23908918406072108,0.28273244781783685
Other Specialty Total,0.10501987612092077,0.30581492095775165,0.11500416011833227,0.26097809004345013,0.0,0.13072016270685033,1.0,0.13266155126190257,0.07312563557363409,0.39733752426735697,0.36849403716372375,0.10881020615697512,0.10409540538041973,0.19404640843117313,0.24969954700933716
Internal Medicine,0.4295774647887324,0.25955734406438635,0.0,0.6448692152917506,0.12273641851106638,0.3611670020120724,1.0,0.2857142857142857,0.23742454728370227,0.33098591549295775,0.3169014084507043,0.25754527162977864,0.13380281690140847,0.17907444668008052,0.3611670020120724
Cardiology,0.00883977900552487,0.15469613259668505,0.07292817679558007,0.33259668508287293,0.0,0.18895027624309385,1.0,0.1591160220994475,0.10386740331491712,0.39779005524861877,0.2475138121546961,0.07955801104972372,0.040883977900552496,0.1292817679558011,0.23535911602209947
Clinical Immunology & Allergy,0.13513513513513511,0.34234234234234234,0.7387387387387386,0.954954954954955,0.0,0.4234234234234234,1.0,0.5945945945945945,0.3693693693693693,0.5225225225225224,0.4414414414414414,0.3513513513513513,0.0,0.0,0.4954954954954955
Dermatology,0.12280701754385967,0.10526315789473686,0.16228070175438597,0.2192982456140351,0.0,0.37061403508771934,1.0,0.456140350877193,0.16447368421052633,0.25657894736842113,0.543859649122807,0.08771929824561403,0.11184210526315791,0.05043859649122807,0.3179824561403509
Endocrinology & Metabolism,0.1928721174004193,0.450733752620545,0.1320754716981132,0.11949685534591195,0.24318658280922434,0.32285115303983225,1.0,0.26205450733752617,0.24528301886792453,0.1551362683438155,0.3081761006289308,0.03563941299790356,0.1320754716981132,0.0,0.3039832285115304
Gastroenterology,0.0,0.3349397590361445,0.2072289156626506,0.436144578313253,0.12048192771084333,0.3132530120481927,1.0,0.34457831325301197,0.3542168674698794,0.34698795180722886,0.32771084337349393,0.06746987951807226,0.07951807228915661,0.3903614457831324,0.35180722891566263
General Internal Medicine,0.12931034482758622,0.49137931034482757,0.10344827586206896,0.3965517241379311,0.0,0.19827586206896555,0.7068965517241379,0.1724137931034483,0.10344827586206896,1.0,0.4224137931034483,0.1724137931034483,0.14655172413793105,0.0,0.2931034482758621
Geriatric Medicine,0.01562499999999997,0.19140625,0.05468749999999996,0.26953125,0.0,0.33203124999999994,1.0,0.13671875,0.011718749999999967,0.08593749999999999,0.21875000000000003,0.011718749999999967,0.05468749999999996,0.43359374999999994,0.21875000000000003
Hematology,0.0,0.2733812949640288,0.18884892086330937,0.5107913669064749,0.06654676258992806,0.16906474820143885,1.0,0.10971223021582735,0.10611510791366907,0.24460431654676262,0.4046762589928058,0.10611510791366907,0.1564748201438849,0.07553956834532374,0.27877697841726623
Infectious Diseases,0.0,0.20821114369501464,0.058651026392961866,0.343108504398827,0.03812316715542523,0.20821114369501464,1.0,0.10557184750733137,0.1290322580645161,0.126099706744868,0.46920821114369504,0.014662756598240474,0.058651026392961866,0.20234604105571846,0.24926686217008795
Medical Oncology,0.1956521739130435,0.31521739130434784,0.14347826086956522,0.28478260869565214,0.0,0.14565217391304347,1.0,0.14565217391304347,0.04347826086956521,0.5565217391304348,0.21956521739130436,0.17826086956521742,0.21956521739130436,0.47608695652173927,0.2608695652173913
Nephrology,0.0,0.24013157894736845,0.12828947368421054,0.3355263157894737,0.07565789473684213,0.19736842105263158,1.0,0.12171052631578948,0.2138157894736842,0.47368421052631576,0.35197368421052627,0.0921052631578947,0.28289473684210525,0.5328947368421052,0.28618421052631576
Neurology,0.07311320754716981,0.45872641509433953,0.07547169811320754,0.2712264150943396,0.007075471698113214,0.18396226415094338,1.0,0.1709905660377358,0.07193396226415094,0.24056603773584906,0.33608490566037735,0.058962264150943404,0.0,0.045990566037735846,0.2511792452830188
Occupational Medicine,0.0,0.12195121951219513,0.0,0.0,0.10975609756097561,0.0975609756097561,1.0,0.24390243902439027,0.14634146341463414,0.23170731707317074,0.0,0.0,0.0,0.0,0.17073170731707318
Respirology,0.11538461538461538,0.2153846153846154,0.24423076923076922,0.5596153846153846,0.15384615384615383,0.24807692307692308,1.0,0.1576923076923077,0.1480769230769231,0.4826923076923077,0.37307692307692303,0.0,0.02115384615384615,0.04807692307692307,0.3096153846153847
Rheumatology,0.10411622276029055,0.3268765133171913,0.099273607748184,0.3898305084745763,0.13801452784503632,0.43341404358353514,1.0,0.3123486682808717,0.18644067796610167,0.28813559322033905,0.3995157384987894,0.14769975786924938,0.0,0.06053268765133171,0.33171912832929784
Internal Medicine Total,0.0535421327367636,0.22609992542878452,0.05145413870246083,0.34332587621178223,0.0,0.20686055182699475,1.0,0.16256524981357195,0.09366144668158091,0.27994034302759135,0.2905294556301268,0.03624161073825502,0.02087994034302762,0.09798657718120804,0.24041759880686048
Pediatrics,0.06723237597911223,0.26044386422976495,0.0,0.20430809399477806,0.01174934725848562,0.16579634464751958,1.0,0.26044386422976495,0.034595300261096563,0.10639686684073106,0.35835509138381194,0.05809399477806786,0.02284595300261094,0.0,0.22976501305483024
Adolescent Medicine,0.0,0.0,0.0,0.4444444444444445,0.0,0.0,1.0,0.22222222222222224,0.0,0.4222222222222222,0.3111111111111111,0.0,0.0,0.0,0.22222222222222224
Cardiology - Pediatric,0.0,0.1027027027027027,0.0,0.14054054054054055,0.15135135135135136,0.0,1.0,0.05405405405405406,0.09729729729729729,0.1027027027027027,0.3405405405405405,0.0,0.0,0.0,0.1783783783783784
Clinical Immunology & Allergy - Pediatric,0.6716417910447761,0.14925373134328357,0.0,0.29850746268656714,0.41791044776119407,0.46268656716417905,1.0,0.5970149253731343,0.3582089552238806,0.582089552238806,0.626865671641791,0.29850746268656714,0.0,0.0,0.4477611940298507
Critical Care Medicine - Pediatric,0.0,0.9661016949152542,0.0,0.5593220338983051,0.0,0.0,1.0,0.0,0.0,0.0,0.8305084745762712,0.0,0.0,0.0,0.3050847457627119
Developmental Pediatrics,0.0,0.25675675675675674,0.0,0.445945945945946,0.0,0.10810810810810811,1.0,0.13513513513513514,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.1891891891891892
Emergency Medicine - Pediatric,0.0,0.335,0.0,0.56,0.0,0.0,1.0,0.0,0.0,0.0,0.805,0.0,0.0,0.0,0.25
Endocrinology & Metabolism - Pediatric,0.0,0.18269230769230768,0.0,0.38461538461538464,0.08653846153846154,0.07692307692307693,1.0,0.24038461538461536,0.05769230769230769,0.18269230769230768,0.6057692307692307,0.19230769230769232,0.0,0.0,0.2692307692307693
Gastroenterology - Pediatric,0.13513513513513511,0.2612612612612612,0.0,0.4774774774774775,0.0,0.0,1.0,0.09009009009009009,0.05405405405405405,0.0,0.31531531531531526,0.0,0.0,0.0,0.2162162162162162
Hematology / Oncology - Pediatric,0.09615384615384615,0.36538461538461536,0.0,0.2948717948717949,0.05769230769230769,0.0,1.0,0.06410256410256411,0.03846153846153846,0.0,0.2692307692307692,0.0,0.0,0.0,0.1987179487179487
Infectious Diseases - Pediatric,0.0,0.10416666666666667,0.0,0.27083333333333337,0.0,0.08333333333333334,1.0,0.052083333333333336,0.0625,0.19791666666666669,0.65625,0.0,0.0,0.0,0.21875
Neonatal - Perinatal Medicine,0.0,0.41104294478527614,0.0,0.44785276073619634,0.11656441717791412,0.0,1.0,0.15337423312883436,0.03680981595092025,0.3558282208588957,0.3865030674846626,0.1226993865030675,0.0,0.0,0.25153374233128833
Nephrology - Pediatric,0.0,0.36538461538461536,0.0,0.38461538461538464,0.17307692307692307,0.0,1.0,0.09615384615384616,0.11538461538461538,0.0,0.5384615384615385,0.0,0.0,0.0,0.25
Neurology - Pediatric,0.0,0.7307692307692307,0.0,0.38461538461538464,0.0,0.15384615384615385,1.0,0.4807692307692307,0.11538461538461538,0.36538461538461536,0.8076923076923076,0.0,0.0,0.0,0.36538461538461536
Radiology - Pediatric,0.0,0.0,0.0,0.0,0.0,0.21621621621621623,1.0,0.0,0.0,0.0,0.5675675675675675,0.0,0.0,0.0,0.16216216216216217
Respirology - Pediatric,0.0,0.36538461538461536,0.0,0.06730769230769232,0.08653846153846154,0.22115384615384615,1.0,0.04807692307692308,0.11538461538461538,0.0,0.4038461538461538,0.0,0.0,0.0,0.21153846153846154
Rheumatology - Pediatric,0.0,0.35365853658536583,0.0,0.24390243902439027,0.0,0.0975609756097561,1.0,0.24390243902439027,0.0,0.0,0.25609756097560976,0.0,0.0,0.0,0.20731707317073172
Pediatrics Total,0.057069573581276026,0.28053863417762104,0.0,0.27605001603077906,0.04135941006732927,0.11413914716255208,1.0,0.19268996473228595,0.049374799615261304,0.11413914716255208,0.4168002564924655,0.04713049054184033,0.011221545367104829,0.0,0.2334081436357807
General Surgery,0.4624573378839591,0.5290102389078499,0.14846416382252564,0.5068259385665531,0.0,0.18600682593856663,0.7354948805460753,0.2184300341296929,0.226962457337884,0.5307167235494882,0.5409556313993175,0.5716723549488056,0.6740614334470991,1.0,0.3924914675767918
Cardiac Surgery,0.14423076923076922,0.32211538461538464,0.3365384615384615,0.15865384615384615,0.09134615384615384,0.1875,1.0,0.12019230769230768,0.0,0.375,0.5384615384615385,0.09615384615384616,0.3365384615384615,0.0,0.2788461538461538
Colorectal Surgery,0.0,0.95,0.0,1.0,0.0,0.0,0.7499999999999999,0.5,0.3,0.0,0.7000000000000001,1.0,0.85,0.0,0.5
General Surgical Oncology,0.0,0.16949152542372883,0.2033898305084746,0.22033898305084748,0.3220338983050848,0.0,1.0,0.08474576271186442,0.1016949152542373,0.6610169491525424,0.11864406779661019,0.0,0.0,0.0,0.22033898305084748
Gynecologic Oncology,0.0,0.36538461538461536,0.0,0.25,0.0,0.4423076923076923,1.0,0.0,0.11538461538461538,0.75,0.673076923076923,0.75,0.0,0.0,0.3076923076923077
Gynecologic Reproductive Endocrinology & Infertility,0.0,0.33333333333333337,0.4,0.43333333333333335,0.3,0.5333333333333333,0.7333333333333334,1.0,0.0,0.6333333333333334,0.23333333333333336,0.0,0.0,0.0,0.4
Maternal Fetal Medicine,0.0,0.14925373134328357,0.0,0.29850746268656714,0.0,0.23880597014925373,1.0,0.14925373134328357,0.0,0.2835820895522388,0.3134328358208955,0.0,0.0,0.0,0.20895522388059704
Neurosurgery,0.28846153846153844,0.4384615384615384,0.04615384615384615,0.3038461538461539,0.03461538461538461,0.2423076923076923,1.0,0.019230769230769232,0.0,0.6692307692307692,0.32307692307692304,0.0,0.3346153846153846,0.4846153846153846,0.27307692307692305
Obstetrics & Gynecology,0.18042452830188682,0.31014150943396224,0.28891509433962265,0.32429245283018865,0.0,0.22523584905660377,1.0,0.2900943396226415,0.3466981132075472,0.40212264150943394,0.606132075471698,0.20047169811320756,0.2476415094339622,0.21344339622641503,0.3632075471698113
Ophthalmology,0.12941176470588234,0.2691176470588236,0.1308823529411765,0.18088235294117647,0.0,0.14411764705882352,1.0,0.24558823529411763,0.07352941176470588,0.5911764705882354,0.48235294117647065,0.08088235294117647,0.25882352941176473,0.3147058823529412,0.2823529411764706
Orthopedic Surgery,0.2218045112781955,0.5639097744360902,0.18045112781954892,0.5394736842105264,0.0,0.193609022556391,1.0,0.2218045112781955,0.2330827067669173,0.7274436090225564,0.5695488721804512,0.2575187969924812,0.42105263157894746,0.42105263157894746,0.3947368421052631
Otolaryngology - Head & Neck Surgery,0.16181229773462785,0.5275080906148868,0.25566343042071193,0.3462783171521035,0.0,0.23624595469255663,1.0,0.30097087378640774,0.2071197411003236,0.3559870550161812,0.546925566343042,0.29773462783171517,0.23624595469255663,0.40453074433656955,0.36245954692556637
Pediatric Surgery,0.0,0.8135593220338984,0.0,0.5593220338983051,0.0,0.0,1.0,0.0,0.0,0.3220338983050848,0.47457627118644075,0.0,0.0,0.0,0.2711864406779661
Plastic Surgery,0.08241758241758243,0.2664835164835165,0.08516483516483518,0.28571428571428575,0.0,0.24725274725274726,1.0,0.29670329670329676,0.07142857142857144,0.22252747252747257,0.3571428571428572,0.17307692307692313,0.22802197802197807,0.14285714285714288,0.2774725274725275
Thoracic Surgery,0.15624999999999997,0.23958333333333331,0.33333333333333326,0.1875,0.13541666666666669,0.16666666666666666,1.0,0.0,0.15624999999999997,0.25,0.2083333333333333,0.05208333333333335,0.5729166666666665,0.28125,0.25
Urology,0.49197860962566836,0.6737967914438501,0.5133689839572192,0.5133689839572192,0.0,0.08021390374331545,1.0,0.32085561497326204,0.1176470588235294,0.9037433155080213,0.8449197860962566,0.4973262032085561,0.5775401069518716,0.3475935828877005,0.46524064171122986
Vascular Surgery,0.14166666666666666,0.16666666666666663,0.24999999999999994,0.375,0.0,0.35,1.0,0.3166666666666667,0.3583333333333333,0.24999999999999994,0.23333333333333336,0.4166666666666667,0.49166666666666664,0.4666666666666666,0.35
Surgery Total,0.2051402970997406,0.40391417118604095,0.19358641829757134,0.3553407215279415,0.0,0.1947653855222825,1.0,0.22966281537373265,0.16953548691346382,0.5126149493044093,0.5201603395425607,0.23767979250176846,0.35109643951898134,0.37420419712332,0.34095732138646545
General Pathology,0.0,0.44094488188976383,0.31496062992125984,0.18110236220472445,0.2755905511811024,0.007874015748031503,0.11811023622047245,0.0,0.0,0.37795275590551186,0.03937007874015747,0.8425196850393701,1.0,0.7559055118110236,0.19685039370078744
Anatomical Pathology,0.07946026986506743,0.32233883058470764,0.04497751124437782,0.21139430284857574,0.01649175412293851,0.07196401799100449,1.0,0.04647676161919041,0.06746626686656668,0.34782608695652173,0.25037481259370314,0.0,0.001499250374812595,0.20539730134932535,0.20389805097451272
Forensic Pathology,0.0,0.27142857142857146,0.0,0.18571428571428572,0.0,0.0,0.0,0.8714285714285714,0.0,0.27142857142857146,0.3,0.0,1.0,0.0,0.2285714285714286
Hematological Pathology,0.0,0.0,0.0,0.10924369747899161,0.31092436974789917,0.06722689075630253,1.0,0.04201680672268908,0.0,0.6554621848739496,0.35294117647058826,0.0,0.29411764705882354,0.0,0.20168067226890757
Medical Biochemistry,0.0,0.30303030303030304,0.3636363636363636,1.0,0.5757575757575757,0.0,0.0,0.15151515151515152,0.1818181818181818,0.0,0.21212121212121213,0.0,0.0,0.0,0.24242424242424243
Medical Microbiology,0.18292682926829268,0.35365853658536583,0.2804878048780488,0.3170731707317073,0.23170731707317074,0.2804878048780488,1.0,0.24390243902439027,0.07317073170731707,0.23170731707317074,0.4268292682926829,0.0,0.0,0.0,0.3048780487804878
Neuropathology,0.0,0.6440677966101696,0.0,0.22033898305084748,0.0,0.13559322033898305,1.0,0.0,0.0,0.3220338983050848,0.3559322033898305,0.0,0.0,0.0,0.22033898305084748
Laboratory Medicine Total,0.013559322033898317,0.3502824858757062,0.055367231638418106,0.2338983050847458,0.07344632768361581,0.036158192090395516,1.0,0.0745762711864407,0.0,0.4056497175141243,0.2734463276836158,0.057627118644067825,0.20000000000000007,0.20000000000000007,0.21694915254237288
Specialist Total,0.0922812231172284,0.2943614608586846,0.08856651286462816,0.29346210995542343,0.0,0.14940955658090244,1.0,0.15535309298506297,0.08203644326268868,0.34687573316649717,0.37104090091499176,0.09513568467975286,0.10846953937592865,0.16911707202627668,0.2535778525064518
Grand Total,0.10364154144449829,0.3073800290838585,0.13472491517207946,0.2759331071255453,0.0,0.2064953950557441,1.0,0.18886330586524477,0.09428017450315072,0.4002968977217644,0.44746728065923413,0.1741093068347067,0.22164323800290842,0.34821861366941353,0.2860821619001454
